municipality,year,num_households,median_income
Capelle aan den IJssel,2020,31.1,28.6
Capelle aan den IJssel,2021,31.3,29.8
Castricum,2012,14.7,27.6
Castricum,2013,14.8,27.8
Castricum,2014,14.8,28.9
Castricum,2015,14.9,29.1
Castricum,2016,15.0,30.0
Castricum,2017,15.3,30.7
Castricum,2018,15.5,31.3
Castricum,2019,15.6,32.9
Castricum,2020,15.7,33.8
Castricum,2021,15.8,35.3
Coevorden,2012,15.2,22.7
Coevorden,2013,15.2,23.0
Coevorden,2014,15.2,23.6
Coevorden,2015,15.2,23.8
Coevorden,2016,15.2,24.8
Coevorden,2017,15.3,25.4
Coevorden,2018,15.3,25.7
Coevorden,2019,15.4,27.0
Coevorden,2020,15.5,28.2
Coevorden,2021,15.5,29.5
Cranendonck,2012,8.4,24.6
Cranendonck,2013,8.4,25.0
Cranendonck,2014,8.5,25.7
Cranendonck,2015,8.6,26.1
Cranendonck,2016,8.7,26.9
Cranendonck,2017,8.7,27.7
Cranendonck,2018,8.7,28.0
Cranendonck,2019,8.8,29.1
Cranendonck,2020,8.9,30.3
Cranendonck,2021,8.8,31.7
Culemborg,2012,11.5,24.3
Culemborg,2013,11.6,24.4
Culemborg,2014,11.5,25.2
Culemborg,2015,11.6,25.7
Culemborg,2016,11.7,26.6
Culemborg,2017,11.9,27.3
Culemborg,2018,12.1,28.0
Culemborg,2019,12.3,29.4
Culemborg,2020,12.6,30.6
Culemborg,2021,12.7,32.0
Dalfsen,2012,10.7,24.7
Dalfsen,2013,10.8,25.0
Dalfsen,2014,10.9,25.7
Dalfsen,2015,10.9,26.1
Dalfsen,2016,11.1,27.2
Dalfsen,2017,11.2,28.0
Dalfsen,2018,11.2,28.5
Dalfsen,2019,11.4,29.7
Dalfsen,2020,11.6,30.7
Dalfsen,2021,11.8,32.2
Dantumadiel,2012,7.7,20.9
Dantumadiel,2013,7.7,21.2
Dantumadiel,2014,7.7,21.6
Dantumadiel,2015,7.7,22.1
Dantumadiel,2016,7.7,23.1
Dantumadiel,2017,7.7,23.5
Dantumadiel,2018,7.7,24.0
Dantumadiel,2019,7.7,25.2
Dantumadiel,2020,7.8,26.4
Dantumadiel,2021,7.8,27.4
Delft,2012,51.1,19.9
Delft,2013,51.6,19.8
Delft,2014,52.1,20.1
Delft,2015,53.0,20.1
Delft,2016,53.0,20.8
Delft,2017,53.3,21.3
Delft,2018,54.4,21.5
Delft,2019,54.9,22.6
Delft,2020,55.0,23.7
Delft,2021,55.4,24.8
Deurne,2012,12.8,23.9
Deurne,2013,12.9,24.1
Deurne,2014,12.9,24.8
Deurne,2015,13.1,25.1
Deurne,2016,13.2,26.1
Deurne,2017,13.4,26.8
Deurne,2018,13.5,27.2
Deurne,2019,13.7,28.4
Deurne,2020,13.7,29.6
Deurne,2021,13.8,31.1
Deventer,2012,43.4,22.3
Deventer,2013,43.3,22.6
Deventer,2014,43.3,23.3
Deventer,2015,43.7,23.6
Deventer,2016,44.1,24.5
Deventer,2017,44.8,24.9
Deventer,2018,45.2,25.3
Deventer,2019,45.6,26.5
Deventer,2020,46.2,27.7
Deventer,2021,46.5,29.0
Diemen,2012,11.7,23.1
Diemen,2013,11.8,23.0
Diemen,2014,12.4,23.0
Diemen,2015,13.0,22.9
Diemen,2016,13.0,24.1
Diemen,2017,13.2,24.7
Diemen,2018,13.6,25.6
Diemen,2019,14.1,27.3
Diemen,2020,14.7,28.3
Diemen,2021,15.2,30.2
Dinkelland,2012,9.7,24.8
Dinkelland,2013,9.8,25.0
Dinkelland,2014,9.8,25.8
Dinkelland,2015,9.8,26.4
Dinkelland,2016,9.9,27.5
Dinkelland,2017,10.1,28.3
Dinkelland,2018,10.1,28.8
Dinkelland,2019,10.2,30.2
Dinkelland,2020,10.3,31.4
Dinkelland,2021,10.4,33.0
Doesburg,2012,5.1,21.7
Doesburg,2013,5.1,21.5
Doesburg,2014,5.1,22.3
Doesburg,2015,5.1,22.4
Doesburg,2016,5.2,23.5
Doesburg,2017,5.2,24.1
Doesburg,2018,5.3,24.8
Doesburg,2019,5.2,26.0
Doesburg,2020,5.2,26.9
Doesburg,2021,5.2,28.2
Doetinchem,2012,24.3,22.8
Doetinchem,2013,24.5,22.9
Doetinchem,2014,24.4,23.6
Doetinchem,2015,24.7,24.0
Doetinchem,2016,24.8,24.9
Doetinchem,2017,25.1,25.4
Doetinchem,2018,25.3,25.9
Doetinchem,2019,25.6,27.2
Doetinchem,2020,25.8,28.3
Doetinchem,2021,26.0,29.6
Dongen,2012,10.4,24.4
Dongen,2013,10.6,24.5
Dongen,2014,10.6,25.3
Dongen,2015,10.6,25.7
Dongen,2016,10.7,26.8
Dongen,2017,10.8,27.5
Dongen,2018,10.9,28.1
Dongen,2019,11.0,29.5
Dongen,2020,11.1,30.7
Dongen,2021,11.3,31.9
Dordrecht,2012,53.8,22.4
Dordrecht,2013,53.8,22.6
Dordrecht,2014,53.8,23.3
Dordrecht,2015,54.1,23.6
Dordrecht,2016,54.3,24.4
Dordrecht,2017,54.6,25.0
Dordrecht,2018,54.4,25.6
Dordrecht,2019,54.3,27.0
Dordrecht,2020,54.7,28.3
Dordrecht,2021,54.8,29.5
Drechterland,2012,7.7,24.9
Drechterland,2013,7.8,25.1
Drechterland,2014,7.9,25.8
Drechterland,2015,7.9,26.2
Drechterland,2016,7.9,27.5
Drechterland,2017,8.0,28.0
Drechterland,2018,8.0,28.4
Drechterland,2019,8.1,29.7
Drechterland,2020,8.2,31.2
Drechterland,2021,8.2,32.3
Drimmelen,2012,10.8,25.4
Drimmelen,2013,10.9,25.6
Drimmelen,2014,11.0,26.2
Drimmelen,2015,11.1,26.7
Drimmelen,2016,11.2,27.8
Drimmelen,2017,11.3,28.5
Drimmelen,2018,11.4,28.9
Drimmelen,2019,11.5,30.3
Drimmelen,2020,11.6,31.3
Drimmelen,2021,11.7,32.6
Dronten,2012,16.4,23.2
Dronten,2013,16.6,23.5
Dronten,2014,16.6,24.2
Dronten,2015,16.8,24.6
Dronten,2016,16.9,25.5
Dronten,2017,17.0,26.2
Dronten,2018,17.0,26.9
Dronten,2019,17.2,28.3
Dronten,2020,17.4,29.6
Dronten,2021,17.7,30.9
Druten,2012,7.1,24.0
Druten,2013,7.1,24.3
Druten,2014,7.2,24.9
Druten,2015,7.4,25.3
Druten,2016,7.5,26.5
